DeptId,ZipCode,NumberOfStations,ActivePersonnel
1296,05821,2,30
1297,36426,1,15
1298,53507,1,38
1299,58008,1,21
1300,35550,1,9
1301,74002,1,22
1302,74002,1,10
1303,02630,1,18
1304,03225,2,16
1305,55707,1,20
1306,36532,1,16
1307,49101,1,19
1308,92040,1,23
1309,26559,1,21
1310,05641,1,38
1311,05678,2,30
1312,19444,1,31
1313,42101,2,22
1314,24313,1,22
1315,03825,1,29
1316,08007,1,54
1317,60010,1,19
1318,02806,1,28
1319,54812,1,32
1320,30680,6,93
1321,62312,1,28
1322,75102,1,14
1323,49305,1,21
1324,92311,3,48
1325,79719,1,11
1326,17566,1,65
1327,74003,4,69
1328,03838,2,24
1329,38134,5,117
1330,60103,3,55
1331,76511,2,30
1332,67332,1,25
1333,48705,1,10
1334,13328,1,43
1335,21521,1,33
1336,72312,2,30
1337,39452,2,15
1338,35616,1,18
1339,43905,1,25
1340,38654,1,21
1341,61607,2,16
1342,30121,14,100
1343,33830,1,31
1344,26264,2,19
1345,81623,4,65
1346,44809,3,50
1347,45743,1,15
1348,43105,2,60
1349,74044,1,15
1350,42402,1,18
1351,71219,1,16
1352,07920,1,0
1353,46534,1,17
1354,24055,1,20
1355,39421,1,34
1356,78662,8,45
1357,78602,3,52
1358,71220,5,40
1359,28710,1,34
1360,60510,2,61
1361,14020,2,40
1362,53001,1,11
1363,52533,1,14
1364,29070,2,41
1365,57716,1,27
1366,47006,1,24
1367,38606,3,52
1368,72501,3,32
1369,44333,2,37
1370,04530,1,24
1371,62617,1,13
1372,24487,2,35
1373,45801,1,25
1374,48808,1,26
1375,14810,1,16
1376,03740,1,12
1377,29816,2,35
1378,27808,1,25
1379,14810,1,75
1380,58216,1,9
1381,70807,19,555
1382,36330,1,25
1383,49015,1,51
1384,49014,6,81
1385,51006,1,23
1386,37380,1,11
1387,68715,1,35
1388,35179,2,28
1389,56515,1,20
1390,89820,1,25
1391,43342,1,25
1392,65619,4,46
1393,40104,1,16
1394,56623,1,25
1395,15209,1,25
1396,46517,1,37
1397,59601,2,11
1398,31513,2,20
1399,50028,1,18
1400,38544,1,26
1401,66713,1,26
1402,75752,1,15
1403,26560,1,30
1404,48708,4,23
1405,54723,1,20
1406,97107,1,20
1407,77414,1,46
1408,32409,10,193
1409,72411,2,25
1410,08742,1,30
1411,49715,1,15
1412,36507,2,49
1413,12845,1,40
1414,11706,3,140
1415,29584,1,18
1416,36305,1,23
1417,43452,1,14
1418,28444,1,24
1419,44870,1,20
1420,44140,1,25
1421,72324,1,21
1422,26707,1,15
1423,88023,1,15
1424,50029,1,20
1425,69334,1,35
1426,94701,1,21
1427,54814,1,24
1428,62314,1,10
1429,72837,1,12
1430,07002,5,167
1431,70360,2,22
1432,70364,3,40
1433,70740,2,30
1434,70360,4,50
1435,70030,2,20
1436,70788,1,28
1437,70764,1,15
1438,77563,1,12
1439,55003,1,25
1440,11705,1,160
1441,33917,1,35
1442,99615,1,28
1443,78340,1,13
1444,77521,9,162
1445,08205,2,35
1446,11709,1,100
1447,08721,2,50
1448,44410,1,18
1449,65606,1,17
1450,44608,1,25
1451,77520,1,17
1452,08008,1,47
1453,60087,2,32
1454,58621,1,28
1455,08722,1,45
1456,12508,3,77
1457,17082,1,27
1458,43716,1,15
1459,47464,1,30
1460,37708,3,19
1461,99664,1,28
1462,18602,2,15
1463,54922,1,25
1464,77328,1,18
1465,42210,1,16
1466,28539,1,32
1467,27892,1,49
1468,54868,1,23
1469,49614,1,18
1470,49646,1,20
1471,16402,1,18
1472,59501,1,26
1473,82930,1,11
1474,83114,1,18
1475,41311,1,17
1476,95979,2,19
1477,95223,1,18
1478,59007,1,6
1479,74859,1,12
1480,56211,1,20
1481,62618,1,28
1482,27537,1,23
1483,55723,2,16
1484,77417,1,12
