Id,ZipCode,Longitude,Latitude,FullTimeOfficers,PartTimeOfficers,TotalActiveOfficers
518,31824,-84.53705188,32.06662855,3,0,3
519,50036,-93.9062689,42.0595669,11,4,15
520,50601,-93.05174563,42.55436939,4,6,10
521,50169,-93.35732971,41.66839245,3,4,7
522,33873,-81.8130088,27.5465226,15,8,23
523,34994,-80.23976055,27.19305107,45,1,46
524,33514,-81.997269,28.6481619,3,0,3
525,32064,-82.9814758,30.2935013,19,1,20
526,33143,-80.292037,25.7032946,43,10,53
527,32148,-81.89797328,29.62649783,4,1,5
528,33781,-82.7147221,27.8415966,99,1,100
529,33141,-80.1579241,25.8488933,25,2,27
530,34753,-81.88038361,28.57272801,12,0,12
531,32250,-81.4039898,30.2858082,61,1,62
532,33134,-80.2602145,25.7459379,184,0,184
533,80125,-105.0354762,39.5634232,113,250,363
534,80523,-105.0870949,40.5771286,39,0,39
535,30025,-83.7177484,33.6553347,19,1,20
536,30120,-84.79949,34.163711,54,0,54
537,70119,-90.0931906,29.9610943,505,0,505
538,70760,-91.4326291,30.694088,97,8,105
539,71245,-92.7131791,32.5219071,9,0,9
540,70402,-90.46883732,30.51572754,25,0,25
541,70301,-90.81859631,29.79797646,287,0,287
542,70631,-93.3249712,29.7985309,48,3,51
543,71019,-93.3402303,32.0142028,26,3,29
544,71052,-93.709543,32.0394408,81,0,81
545,70438,-90.15612855,30.84366239,51,5,56
546,70582,-91.8295482,30.1199787,45,0,45
547,70433,-90.0962067,30.4802799,409,4,413
548,71044,-93.89398118,33.00438046,1,0,1
549,93638,-120.0371707,36.9534095,78,0,78
550,01247,-73.0844659,42.7120582,1,6,7
551,01571,-71.8954141,42.0454579,11,10,21
552,01095,-72.4260064,42.1506502,28,1,29
553,01020,-72.5846971,42.1561174,133,0,133
554,01532,-71.6269422,42.3257707,20,0,20
555,01527,-71.7620509,42.1890485,20,0,20
556,01907,-70.92065365,42.46989364,33,0,33
557,01516,-71.7114342,42.0685373,15,4,19
558,01970,-70.89662412,42.51576735,83,0,83
559,01902,-70.9488999,42.4656257,178,0,178
560,02667,-70.0247298,41.9429273,13,1,14
561,02149,-71.0447212,42.4124996,100,0,100
562,01845,-71.11824977,42.69200362,40,12,52
563,01921,-71.01376843,42.69296683,13,12,25
564,01240,-73.2847149,42.3564843,10,3,13
565,01940,-71.0472054,42.5383711,18,0,18
566,01007,-72.4149928,42.2711632,19,7,26
567,02540,-70.6033514,41.5542955,63,2,65
568,01376,-72.5184763,42.6285647,2,7,9
569,01096,-72.78949662,42.44301816,2,4,6
570,01245,-73.2137659,42.1796939,1,3,4
571,01778,-71.3593913,42.3634987,22,1,23
572,01966,-70.6290939,42.6452417,16,7,23
573,02771,-71.3265464,41.82992632,34,30,64
574,01002,-72.4689921,42.3782777,2,5,7
575,01237,-73.227553,42.5193228,7,8,15
576,01375,-72.5850058,42.4528113,5,10,15
