GeoID,ZipCode,MeanIncome
860Z200US01923,01923,137591.0
860Z200US01929,01929,188265.0
860Z200US01930,01930,118534.0
860Z200US01937,01937,
860Z200US01938,01938,174964.0
860Z200US01940,01940,209518.0
860Z200US01944,01944,247537.0
860Z200US01945,01945,232968.0
860Z200US01949,01949,197473.0
860Z200US01950,01950,183697.0
860Z200US01951,01951,209917.0
860Z200US01952,01952,120853.0
860Z200US01960,01960,123525.0
860Z200US01965,01965,214139.0
860Z200US01966,01966,128366.0
860Z200US01969,01969,165986.0
860Z200US01970,01970,108966.0
860Z200US01982,01982,173111.0
860Z200US01983,01983,205461.0
860Z200US01984,01984,210680.0
860Z200US01985,01985,231505.0
860Z200US02019,02019,138900.0
860Z200US02021,02021,178658.0
860Z200US02025,02025,300470.0
860Z200US02026,02026,163314.0
860Z200US02030,02030,421148.0
860Z200US02032,02032,204849.0
860Z200US02035,02035,161413.0
860Z200US02038,02038,168389.0
860Z200US02043,02043,261727.0
860Z200US02045,02045,162226.0
860Z200US02047,02047,157784.0
860Z200US02048,02048,163917.0
860Z200US02050,02050,157430.0
860Z200US02052,02052,289308.0
860Z200US02053,02053,207535.0
860Z200US02054,02054,164971.0
860Z200US02056,02056,235641.0
860Z200US02061,02061,226825.0
860Z200US02062,02062,139942.0
860Z200US02066,02066,208849.0
860Z200US02067,02067,229862.0
860Z200US02071,02071,212373.0
860Z200US02072,02072,132359.0
860Z200US02081,02081,191380.0
860Z200US02090,02090,255284.0
860Z200US02093,02093,180894.0
860Z200US02108,02108,296521.0
860Z200US02109,02109,231213.0
860Z200US02110,02110,268255.0
860Z200US02111,02111,163334.0
860Z200US02113,02113,138454.0
860Z200US02114,02114,194853.0
860Z200US02115,02115,107023.0
860Z200US02116,02116,237183.0
860Z200US02118,02118,172525.0
860Z200US02119,02119,72999.0
860Z200US02120,02120,91946.0
860Z200US02121,02121,75796.0
860Z200US02122,02122,115274.0
860Z200US02124,02124,109958.0
860Z200US02125,02125,107333.0
860Z200US02126,02126,99007.0
860Z200US02127,02127,190706.0
860Z200US02128,02128,122983.0
860Z200US02129,02129,206390.0
860Z200US02130,02130,164334.0
860Z200US02131,02131,147712.0
860Z200US02132,02132,175940.0
860Z200US02133,02133,
860Z200US02134,02134,96776.0
860Z200US02135,02135,108404.0
860Z200US02136,02136,116460.0
860Z200US02138,02138,193846.0
860Z200US02139,02139,167981.0
860Z200US02140,02140,181245.0
860Z200US02141,02141,152816.0
860Z200US02142,02142,221242.0
860Z200US02143,02143,160684.0
860Z200US02144,02144,173819.0
860Z200US02145,02145,146926.0
860Z200US02148,02148,118119.0
860Z200US02149,02149,101500.0
860Z200US02150,02150,88703.0
860Z200US02151,02151,104736.0
860Z200US02152,02152,138577.0
860Z200US02155,02155,148538.0
860Z200US02163,02163,130301.0
860Z200US02169,02169,112386.0
860Z200US02170,02170,121615.0
860Z200US02171,02171,138685.0
860Z200US02176,02176,154054.0
860Z200US02180,02180,145420.0
860Z200US02184,02184,151733.0
860Z200US02186,02186,222181.0
860Z200US02188,02188,125298.0
860Z200US02189,02189,118012.0
860Z200US02190,02190,128483.0
860Z200US02191,02191,129515.0
860Z200US02199,02199,185577.0
860Z200US02203,02203,
860Z200US02205,02205,
860Z200US02210,02210,266530.0
860Z200US02215,02215,98063.0
860Z200US02301,02301,102817.0
860Z200US02302,02302,108694.0
860Z200US02322,02322,130878.0
860Z200US02324,02324,136735.0
860Z200US02325,02325,
860Z200US02330,02330,116316.0
860Z200US02332,02332,227867.0
860Z200US02333,02333,165672.0
860Z200US02338,02338,125812.0
860Z200US02339,02339,212320.0
860Z200US02341,02341,151290.0
860Z200US02343,02343,120798.0
860Z200US02346,02346,120616.0
860Z200US02347,02347,144993.0
860Z200US02350,02350,97854.0
860Z200US02351,02351,135451.0
860Z200US02356,02356,173793.0
860Z200US02357,02357,
860Z200US02359,02359,158419.0
860Z200US02360,02360,136710.0
860Z200US02364,02364,140009.0
860Z200US02366,02366,
860Z200US02367,02367,152063.0
860Z200US02368,02368,129183.0
860Z200US02370,02370,126214.0
860Z200US02375,02375,150888.0
860Z200US02379,02379,138970.0
860Z200US02382,02382,120449.0
860Z200US02420,02420,322111.0
