Measure,ZipCode,Ratio,TotalPopulation
Visits to doctor for routine checkup within the past year among adults,68765,0.755,1373
Depression among adults,68765,0.178,1373
Housing insecurity in the past 12 months among adults,68765,0.084,1373
Feeling socially isolated among adults,68765,0.309,1373
Obesity among adults,68765,0.424,1373
Current asthma among adults,68766,0.091,426
Visits to doctor for routine checkup within the past year among adults,68766,0.756,426
Depression among adults,68766,0.164,426
Housing insecurity in the past 12 months among adults,68766,0.09,426
Feeling socially isolated among adults,68766,0.304,426
Obesity among adults,68766,0.38,426
Current asthma among adults,68767,0.093,3327
Visits to doctor for routine checkup within the past year among adults,68767,0.747,3327
Depression among adults,68767,0.18,3327
Housing insecurity in the past 12 months among adults,68767,0.092,3327
Feeling socially isolated among adults,68767,0.327,3327
Obesity among adults,68767,0.417,3327
Current asthma among adults,68768,0.091,568
Visits to doctor for routine checkup within the past year among adults,68768,0.739,568
Depression among adults,68768,0.169,568
Housing insecurity in the past 12 months among adults,68768,0.082,568
Feeling socially isolated among adults,68768,0.302,568
Obesity among adults,68768,0.376,568
Current asthma among adults,68769,0.095,1793
Visits to doctor for routine checkup within the past year among adults,68769,0.762,1793
Depression among adults,68769,0.178,1793
Housing insecurity in the past 12 months among adults,68769,0.086,1793
Feeling socially isolated among adults,68769,0.314,1793
Obesity among adults,68769,0.419,1793
Current asthma among adults,68770,0.093,1603
Visits to doctor for routine checkup within the past year among adults,68770,0.744,1603
Depression among adults,68770,0.165,1603
Housing insecurity in the past 12 months among adults,68770,0.081,1603
Feeling socially isolated among adults,68770,0.309,1603
Obesity among adults,68770,0.383,1603
Current asthma among adults,68771,0.09,1459
Visits to doctor for routine checkup within the past year among adults,68771,0.737,1459
Depression among adults,68771,0.169,1459
Housing insecurity in the past 12 months among adults,68771,0.083,1459
Feeling socially isolated among adults,68771,0.302,1459
Obesity among adults,68771,0.399,1459
Current asthma among adults,68773,0.088,165
Visits to doctor for routine checkup within the past year among adults,68773,0.776,165
Depression among adults,68773,0.152,165
Housing insecurity in the past 12 months among adults,68773,0.076,165
Feeling socially isolated among adults,68773,0.293,165
Obesity among adults,68773,0.417,165
Current asthma among adults,68774,0.085,315
Visits to doctor for routine checkup within the past year among adults,68774,0.718,315
Depression among adults,68774,0.162,315
Housing insecurity in the past 12 months among adults,68774,0.081,315
Feeling socially isolated among adults,68774,0.302,315
Obesity among adults,68774,0.391,315
Current asthma among adults,68776,0.092,16007
Visits to doctor for routine checkup within the past year among adults,68776,0.731,16007
Depression among adults,68776,0.16,16007
Housing insecurity in the past 12 months among adults,68776,0.178,16007
Feeling socially isolated among adults,68776,0.354,16007
Obesity among adults,68776,0.458,16007
Current asthma among adults,68777,0.092,664
Visits to doctor for routine checkup within the past year among adults,68777,0.77,664
Depression among adults,68777,0.161,664
Housing insecurity in the past 12 months among adults,68777,0.082,664
Feeling socially isolated among adults,68777,0.283,664
Obesity among adults,68777,0.407,664
Current asthma among adults,68778,0.097,596
Visits to doctor for routine checkup within the past year among adults,68778,0.763,596
Depression among adults,68778,0.174,596
Housing insecurity in the past 12 months among adults,68778,0.097,596
Feeling socially isolated among adults,68778,0.295,596
Obesity among adults,68778,0.422,596
Current asthma among adults,68779,0.092,2342
Visits to doctor for routine checkup within the past year among adults,68779,0.745,2342
Depression among adults,68779,0.171,2342
Housing insecurity in the past 12 months among adults,68779,0.079,2342
Feeling socially isolated among adults,68779,0.295,2342
Obesity among adults,68779,0.373,2342
Current asthma among adults,68780,0.092,966
Visits to doctor for routine checkup within the past year among adults,68780,0.753,966
Depression among adults,68780,0.162,966
Housing insecurity in the past 12 months among adults,68780,0.085,966
Feeling socially isolated among adults,68780,0.296,966
Obesity among adults,68780,0.381,966
Current asthma among adults,68781,0.095,1442
Visits to doctor for routine checkup within the past year among adults,68781,0.742,1442
Depression among adults,68781,0.175,1442
Housing insecurity in the past 12 months among adults,68781,0.085,1442
Feeling socially isolated among adults,68781,0.297,1442
Obesity among adults,68781,0.414,1442
Current asthma among adults,68783,0.097,959
Visits to doctor for routine checkup within the past year among adults,68783,0.768,959
Depression among adults,68783,0.174,959
Housing insecurity in the past 12 months among adults,68783,0.094,959
Feeling socially isolated among adults,68783,0.298,959
Obesity among adults,68783,0.432,959
Current asthma among adults,68784,0.093,2169
Visits to doctor for routine checkup within the past year among adults,68784,0.727,2169
Depression among adults,68784,0.161,2169
Housing insecurity in the past 12 months among adults,68784,0.131,2169
Feeling socially isolated among adults,68784,0.327,2169
Obesity among adults,68784,0.394,2169
Current asthma among adults,68785,0.092,284
Visits to doctor for routine checkup within the past year among adults,68785,0.746,284
Depression among adults,68785,0.165,284
Housing insecurity in the past 12 months among adults,68785,0.103,284
Feeling socially isolated among adults,68785,0.325,284
Obesity among adults,68785,0.402,284
Current asthma among adults,68786,0.091,985
Visits to doctor for routine checkup within the past year among adults,68786,0.763,985
Depression among adults,68786,0.169,985
Housing insecurity in the past 12 months among adults,68786,0.075,985
Feeling socially isolated among adults,68786,0.298,985
Obesity among adults,68786,0.409,985
Current asthma among adults,68787,0.101,6862
Visits to doctor for routine checkup within the past year among adults,68787,0.711,6862
Depression among adults,68787,0.193,6862
Housing insecurity in the past 12 months among adults,68787,0.13,6862
Feeling socially isolated among adults,68787,0.365,6862
Obesity among adults,68787,0.349,6862
Current asthma among adults,68788,0.094,4861
Visits to doctor for routine checkup within the past year among adults,68788,0.735,4861
Depression among adults,68788,0.166,4861
Housing insecurity in the past 12 months among adults,68788,0.101,4861
Feeling socially isolated among adults,68788,0.315,4861
Obesity among adults,68788,0.394,4861
Current asthma among adults,68789,0.09,134
Visits to doctor for routine checkup within the past year among adults,68789,0.801,134
Depression among adults,68789,0.152,134
Housing insecurity in the past 12 months among adults,68789,0.077,134
Feeling socially isolated among adults,68789,0.274,134
Obesity among adults,68789,0.437,134
Current asthma among adults,68790,0.088,713
Visits to doctor for routine checkup within the past year among adults,68790,0.741,713
Depression among adults,68790,0.162,713
Housing insecurity in the past 12 months among adults,68790,0.08,713
Feeling socially isolated among adults,68790,0.294,713
Obesity among adults,68790,0.346,713
Current asthma among adults,68791,0.093,1798
Visits to doctor for routine checkup within the past year among adults,68791,0.752,1798
Depression among adults,68791,0.167,1798
Housing insecurity in the past 12 months among adults,68791,0.088,1798
Feeling socially isolated among adults,68791,0.306,1798
Obesity among adults,68791,0.391,1798
Current asthma among adults,68792,0.09,468
Visits to doctor for routine checkup within the past year among adults,68792,0.733,468
Depression among adults,68792,0.171,468
Housing insecurity in the past 12 months among adults,68792,0.079,468
Feeling socially isolated among adults,68792,0.3,468
Obesity among adults,68792,0.397,468
Current asthma among adults,68801,0.097,30440
Visits to doctor for routine checkup within the past year among adults,68801,0.711,30440
Depression among adults,68801,0.173,30440
Housing insecurity in the past 12 months among adults,68801,0.159,30440
Feeling socially isolated among adults,68801,0.329,30440
Obesity among adults,68801,0.398,30440
Current asthma among adults,68803,0.094,26487
Visits to doctor for routine checkup within the past year among adults,68803,0.735,26487
Depression among adults,68803,0.169,26487
Housing insecurity in the past 12 months among adults,68803,0.113,26487
Feeling socially isolated among adults,68803,0.311,26487
Obesity among adults,68803,0.362,26487
Current asthma among adults,68810,0.091,1101
Visits to doctor for routine checkup within the past year among adults,68810,0.714,1101
Depression among adults,68810,0.17,1101
Housing insecurity in the past 12 months among adults,68810,0.114,1101
Feeling socially isolated among adults,68810,0.325,1101
Obesity among adults,68810,0.351,1101
Current asthma among adults,68812,0.096,783
Visits to doctor for routine checkup within the past year among adults,68812,0.744,783
Depression among adults,68812,0.183,783
Housing insecurity in the past 12 months among adults,68812,0.076,783
Feeling socially isolated among adults,68812,0.31,783
Obesity among adults,68812,0.422,783
Current asthma among adults,68813,0.096,544
Visits to doctor for routine checkup within the past year among adults,68813,0.745,544
Depression among adults,68813,0.181,544
Housing insecurity in the past 12 months among adults,68813,0.087,544
Feeling socially isolated among adults,68813,0.301,544
Obesity among adults,68813,0.394,544
Current asthma among adults,68814,0.09,923
Visits to doctor for routine checkup within the past year among adults,68814,0.756,923
Depression among adults,68814,0.169,923
Housing insecurity in the past 12 months among adults,68814,0.079,923
Feeling socially isolated among adults,68814,0.297,923
Obesity among adults,68814,0.372,923
Current asthma among adults,68815,0.09,566
Visits to doctor for routine checkup within the past year among adults,68815,0.739,566
Depression among adults,68815,0.167,566
Housing insecurity in the past 12 months among adults,68815,0.095,566
Feeling socially isolated among adults,68815,0.311,566
Obesity among adults,68815,0.397,566
Current asthma among adults,68816,0.096,145
Visits to doctor for routine checkup within the past year among adults,68816,0.767,145
Depression among adults,68816,0.168,145
Housing insecurity in the past 12 months among adults,68816,0.092,145
Feeling socially isolated among adults,68816,0.301,145
Obesity among adults,68816,0.421,145
Current asthma among adults,68817,0.096,351
Visits to doctor for routine checkup within the past year among adults,68817,0.755,351
Depression among adults,68817,0.179,351
Housing insecurity in the past 12 months among adults,68817,0.089,351
Feeling socially isolated among adults,68817,0.304,351
Obesity among adults,68817,0.397,351
Current asthma among adults,68818,0.093,5702
Visits to doctor for routine checkup within the past year among adults,68818,0.743,5702
Depression among adults,68818,0.174,5702
Housing insecurity in the past 12 months among adults,68818,0.083,5702
Feeling socially isolated among adults,68818,0.305,5702
Obesity among adults,68818,0.417,5702
Current asthma among adults,68820,0.092,399
Visits to doctor for routine checkup within the past year among adults,68820,0.758,399
Depression among adults,68820,0.172,399
Housing insecurity in the past 12 months among adults,68820,0.084,399
Feeling socially isolated among adults,68820,0.302,399
Obesity among adults,68820,0.389,399
Current asthma among adults,68821,0.103,102
Visits to doctor for routine checkup within the past year among adults,68821,0.747,102
Depression among adults,68821,0.187,102
Housing insecurity in the past 12 months among adults,68821,0.111,102
Feeling socially isolated among adults,68821,0.323,102
Obesity among adults,68821,0.394,102
Current asthma among adults,68822,0.096,4700
Visits to doctor for routine checkup within the past year among adults,68822,0.746,4700
Depression among adults,68822,0.181,4700
Housing insecurity in the past 12 months among adults,68822,0.096,4700
Feeling socially isolated among adults,68822,0.305,4700
Obesity among adults,68822,0.397,4700
Current asthma among adults,68823,0.09,2190
Visits to doctor for routine checkup within the past year among adults,68823,0.775,2190
Depression among adults,68823,0.162,2190
Housing insecurity in the past 12 months among adults,68823,0.064,2190
Feeling socially isolated among adults,68823,0.28,2190
Obesity among adults,68823,0.376,2190
Current asthma among adults,68824,0.094,1407
Visits to doctor for routine checkup within the past year among adults,68824,0.737,1407
Depression among adults,68824,0.176,1407
Housing insecurity in the past 12 months among adults,68824,0.092,1407
Feeling socially isolated among adults,68824,0.309,1407
Obesity among adults,68824,0.353,1407
Current asthma among adults,68825,0.09,1012
Visits to doctor for routine checkup within the past year among adults,68825,0.775,1012
Depression among adults,68825,0.165,1012
Housing insecurity in the past 12 months among adults,68825,0.077,1012
Feeling socially isolated among adults,68825,0.3,1012
Obesity among adults,68825,0.361,1012
Current asthma among adults,68826,0.096,4044
Visits to doctor for routine checkup within the past year among adults,68826,0.739,4044
Depression among adults,68826,0.176,4044
Housing insecurity in the past 12 months among adults,68826,0.093,4044
Feeling socially isolated among adults,68826,0.309,4044
Obesity among adults,68826,0.402,4044
Current asthma among adults,68827,0.097,634
Visits to doctor for routine checkup within the past year among adults,68827,0.726,634
Depression among adults,68827,0.179,634
Housing insecurity in the past 12 months among adults,68827,0.086,634
Feeling socially isolated among adults,68827,0.308,634
Obesity among adults,68827,0.41,634
Current asthma among adults,68828,0.089,173
Visits to doctor for routine checkup within the past year among adults,68828,0.749,173
Depression among adults,68828,0.165,173
Housing insecurity in the past 12 months among adults,68828,0.069,173
Feeling socially isolated among adults,68828,0.286,173
Obesity among adults,68828,0.394,173
Current asthma among adults,68831,0.09,838
Visits to doctor for routine checkup within the past year among adults,68831,0.758,838
Depression among adults,68831,0.164,838
Housing insecurity in the past 12 months among adults,68831,0.08,838
Feeling socially isolated among adults,68831,0.294,838
Obesity among adults,68831,0.387,838
Current asthma among adults,68832,0.095,1932
Visits to doctor for routine checkup within the past year among adults,68832,0.744,1932
Depression among adults,68832,0.174,1932
Housing insecurity in the past 12 months among adults,68832,0.083,1932
Feeling socially isolated among adults,68832,0.297,1932
Obesity among adults,68832,0.362,1932
Current asthma among adults,68833,0.094,203
Visits to doctor for routine checkup within the past year among adults,68833,0.752,203
Depression among adults,68833,0.17,203
Housing insecurity in the past 12 months among adults,68833,0.071,203
Feeling socially isolated among adults,68833,0.298,203
Obesity among adults,68833,0.367,203
Current asthma among adults,68834,0.088,228
Visits to doctor for routine checkup within the past year among adults,68834,0.77,228
Depression among adults,68834,0.156,228
Housing insecurity in the past 12 months among adults,68834,0.083,228
Feeling socially isolated among adults,68834,0.293,228
Obesity among adults,68834,0.385,228
Current asthma among adults,68835,0.093,430
Visits to doctor for routine checkup within the past year among adults,68835,0.756,430
Depression among adults,68835,0.171,430
Housing insecurity in the past 12 months among adults,68835,0.083,430
Feeling socially isolated among adults,68835,0.299,430
Obesity among adults,68835,0.382,430
Current asthma among adults,68836,0.092,1789
Visits to doctor for routine checkup within the past year among adults,68836,0.735,1789
Depression among adults,68836,0.177,1789
Housing insecurity in the past 12 months among adults,68836,0.081,1789
Feeling socially isolated among adults,68836,0.321,1789
Obesity among adults,68836,0.405,1789
Current asthma among adults,68837,0.087,93
Visits to doctor for routine checkup within the past year among adults,68837,0.743,93
Depression among adults,68837,0.16,93
Housing insecurity in the past 12 months among adults,68837,0.09,93
Feeling socially isolated among adults,68837,0.307,93
Obesity among adults,68837,0.398,93
Current asthma among adults,68838,0.094,297
Visits to doctor for routine checkup within the past year among adults,68838,0.757,297
Depression among adults,68838,0.17,297
Housing insecurity in the past 12 months among adults,68838,0.083,297
Feeling socially isolated among adults,68838,0.294,297
Obesity among adults,68838,0.384,297
Current asthma among adults,68840,0.095,2946
Visits to doctor for routine checkup within the past year among adults,68840,0.724,2946
Depression among adults,68840,0.175,2946
Housing insecurity in the past 12 months among adults,68840,0.11,2946
Feeling socially isolated among adults,68840,0.328,2946
Obesity among adults,68840,0.434,2946
Current asthma among adults,68841,0.096,658
Visits to doctor for routine checkup within the past year among adults,68841,0.731,658
Depression among adults,68841,0.181,658
Housing insecurity in the past 12 months among adults,68841,0.09,658
Feeling socially isolated among adults,68841,0.308,658
Obesity among adults,68841,0.442,658
Current asthma among adults,68842,0.093,613
Visits to doctor for routine checkup within the past year among adults,68842,0.768,613
Depression among adults,68842,0.166,613
Housing insecurity in the past 12 months among adults,68842,0.088,613
Feeling socially isolated among adults,68842,0.312,613
Obesity among adults,68842,0.366,613
Current asthma among adults,68843,0.094,785
Visits to doctor for routine checkup within the past year among adults,68843,0.741,785
Depression among adults,68843,0.174,785
Housing insecurity in the past 12 months among adults,68843,0.076,785
Feeling socially isolated among adults,68843,0.297,785
Obesity among adults,68843,0.427,785
Current asthma among adults,68844,0.099,197
Visits to doctor for routine checkup within the past year among adults,68844,0.742,197
Depression among adults,68844,0.188,197
Housing insecurity in the past 12 months among adults,68844,0.102,197
Feeling socially isolated among adults,68844,0.318,197
Obesity among adults,68844,0.418,197
Current asthma among adults,68845,0.097,20304
Visits to doctor for routine checkup within the past year among adults,68845,0.721,20304
Depression among adults,68845,0.19,20304
Housing insecurity in the past 12 months among adults,68845,0.094,20304
Feeling socially isolated among adults,68845,0.334,20304
Obesity among adults,68845,0.408,20304
Current asthma among adults,68846,0.093,287
Visits to doctor for routine checkup within the past year among adults,68846,0.759,287
Depression among adults,68846,0.168,287
Housing insecurity in the past 12 months among adults,68846,0.074,287
Feeling socially isolated among adults,68846,0.296,287
Obesity among adults,68846,0.414,287
Current asthma among adults,68847,0.095,18458
Visits to doctor for routine checkup within the past year among adults,68847,0.732,18458
Depression among adults,68847,0.182,18458
Housing insecurity in the past 12 months among adults,68847,0.1,18458
Feeling socially isolated among adults,68847,0.327,18458
Obesity among adults,68847,0.419,18458
Current asthma among adults,68849,0.103,1433
Visits to doctor for routine checkup within the past year among adults,68849,0.663,1433
Depression among adults,68849,0.23,1433
Housing insecurity in the past 12 months among adults,68849,0.065,1433
Feeling socially isolated among adults,68849,0.416,1433
Obesity among adults,68849,0.286,1433
Current asthma among adults,68850,0.091,12489
Visits to doctor for routine checkup within the past year among adults,68850,0.703,12489
Depression among adults,68850,0.157,12489
Housing insecurity in the past 12 months among adults,68850,0.208,12489
Feeling socially isolated among adults,68850,0.357,12489
Obesity among adults,68850,0.429,12489
Current asthma among adults,68852,0.096,474
Visits to doctor for routine checkup within the past year among adults,68852,0.752,474
Depression among adults,68852,0.175,474
Housing insecurity in the past 12 months among adults,68852,0.084,474
Feeling socially isolated among adults,68852,0.298,474
Obesity among adults,68852,0.401,474
Current asthma among adults,68853,0.096,1573
Visits to doctor for routine checkup within the past year among adults,68853,0.764,1573
Depression among adults,68853,0.175,1573
Housing insecurity in the past 12 months among adults,68853,0.1,1573
Feeling socially isolated among adults,68853,0.312,1573
Obesity among adults,68853,0.393,1573
Current asthma among adults,68854,0.095,819
Visits to doctor for routine checkup within the past year among adults,68854,0.751,819
Depression among adults,68854,0.171,819
Housing insecurity in the past 12 months among adults,68854,0.082,819
Feeling socially isolated among adults,68854,0.302,819
Obesity among adults,68854,0.424,819
Current asthma among adults,68855,0.091,402
Visits to doctor for routine checkup within the past year among adults,68855,0.742,402
Depression among adults,68855,0.174,402
Housing insecurity in the past 12 months among adults,68855,0.07,402
Feeling socially isolated among adults,68855,0.292,402
Obesity among adults,68855,0.37,402
Current asthma among adults,68856,0.093,600
Visits to doctor for routine checkup within the past year among adults,68856,0.74,600
Depression among adults,68856,0.179,600
Housing insecurity in the past 12 months among adults,68856,0.088,600
Feeling socially isolated among adults,68856,0.307,600
Obesity among adults,68856,0.38,600
Current asthma among adults,68858,0.092,263
Visits to doctor for routine checkup within the past year among adults,68858,0.759,263
Depression among adults,68858,0.168,263
Housing insecurity in the past 12 months among adults,68858,0.084,263
Feeling socially isolated among adults,68858,0.305,263
Obesity among adults,68858,0.431,263
Current asthma among adults,68859,0.091,458
Visits to doctor for routine checkup within the past year among adults,68859,0.769,458
Depression among adults,68859,0.165,458
Housing insecurity in the past 12 months among adults,68859,0.083,458
Feeling socially isolated among adults,68859,0.3,458
Obesity among adults,68859,0.399,458
Current asthma among adults,68860,0.094,336
Visits to doctor for routine checkup within the past year among adults,68860,0.754,336
Depression among adults,68860,0.174,336
Housing insecurity in the past 12 months among adults,68860,0.081,336
Feeling socially isolated among adults,68860,0.299,336
Obesity among adults,68860,0.386,336
Current asthma among adults,68861,0.093,121
Visits to doctor for routine checkup within the past year among adults,68861,0.74,121
Depression among adults,68861,0.18,121
Housing insecurity in the past 12 months among adults,68861,0.081,121
Feeling socially isolated among adults,68861,0.316,121
Obesity among adults,68861,0.4,121
Current asthma among adults,68862,0.093,2908
Visits to doctor for routine checkup within the past year among adults,68862,0.755,2908
Depression among adults,68862,0.168,2908
Housing insecurity in the past 12 months among adults,68862,0.096,2908
Feeling socially isolated among adults,68862,0.317,2908
Obesity among adults,68862,0.406,2908
Current asthma among adults,68863,0.095,1132
Visits to doctor for routine checkup within the past year among adults,68863,0.731,1132
Depression among adults,68863,0.18,1132
Housing insecurity in the past 12 months among adults,68863,0.099,1132
Feeling socially isolated among adults,68863,0.316,1132
Obesity among adults,68863,0.391,1132
Current asthma among adults,68864,0.093,1068
Visits to doctor for routine checkup within the past year among adults,68864,0.74,1068
Depression among adults,68864,0.174,1068
Housing insecurity in the past 12 months among adults,68864,0.091,1068
Feeling socially isolated among adults,68864,0.306,1068
Obesity among adults,68864,0.397,1068
Current asthma among adults,68865,0.094,960
Visits to doctor for routine checkup within the past year among adults,68865,0.728,960
Depression among adults,68865,0.176,960
Housing insecurity in the past 12 months among adults,68865,0.09,960
Feeling socially isolated among adults,68865,0.312,960
Obesity among adults,68865,0.436,960
Current asthma among adults,68866,0.096,1000
Visits to doctor for routine checkup within the past year among adults,68866,0.731,1000
Depression among adults,68866,0.182,1000
Housing insecurity in the past 12 months among adults,68866,0.078,1000
Feeling socially isolated among adults,68866,0.309,1000
Obesity among adults,68866,0.428,1000
Current asthma among adults,68869,0.092,2216
Visits to doctor for routine checkup within the past year among adults,68869,0.754,2216
Depression among adults,68869,0.171,2216
Housing insecurity in the past 12 months among adults,68869,0.087,2216
Feeling socially isolated among adults,68869,0.314,2216
Obesity among adults,68869,0.417,2216
Current asthma among adults,68870,0.093,561
Visits to doctor for routine checkup within the past year among adults,68870,0.742,561
Depression among adults,68870,0.176,561
Housing insecurity in the past 12 months among adults,68870,0.079,561
Feeling socially isolated among adults,68870,0.318,561
Obesity among adults,68870,0.409,561
Current asthma among adults,68871,0.095,230
Visits to doctor for routine checkup within the past year among adults,68871,0.748,230
Depression among adults,68871,0.177,230
Housing insecurity in the past 12 months among adults,68871,0.092,230
Feeling socially isolated among adults,68871,0.304,230
Obesity among adults,68871,0.401,230
Current asthma among adults,68872,0.09,908
Visits to doctor for routine checkup within the past year among adults,68872,0.753,908
Depression among adults,68872,0.168,908
Housing insecurity in the past 12 months among adults,68872,0.088,908
Feeling socially isolated among adults,68872,0.308,908
Obesity among adults,68872,0.377,908
Current asthma among adults,68873,0.092,3476
Visits to doctor for routine checkup within the past year among adults,68873,0.76,3476
Depression among adults,68873,0.169,3476
Housing insecurity in the past 12 months among adults,68873,0.089,3476
Feeling socially isolated among adults,68873,0.304,3476
Obesity among adults,68873,0.374,3476
Current asthma among adults,68874,0.092,838
Visits to doctor for routine checkup within the past year among adults,68874,0.762,838
Depression among adults,68874,0.171,838
Housing insecurity in the past 12 months among adults,68874,0.095,838
Feeling socially isolated among adults,68874,0.304,838
Obesity among adults,68874,0.392,838
Current asthma among adults,68875,0.092,559
Visits to doctor for routine checkup within the past year among adults,68875,0.742,559
Depression among adults,68875,0.171,559
Housing insecurity in the past 12 months among adults,68875,0.093,559
Feeling socially isolated among adults,68875,0.314,559
Obesity among adults,68875,0.383,559
Current asthma among adults,68876,0.096,1502
Visits to doctor for routine checkup within the past year among adults,68876,0.735,1502
Depression among adults,68876,0.178,1502
Housing insecurity in the past 12 months among adults,68876,0.094,1502
Feeling socially isolated among adults,68876,0.318,1502
Obesity among adults,68876,0.428,1502
Current asthma among adults,68878,0.09,400
Visits to doctor for routine checkup within the past year among adults,68878,0.742,400
Depression among adults,68878,0.167,400
Housing insecurity in the past 12 months among adults,68878,0.099,400
Feeling socially isolated among adults,68878,0.307,400
Obesity among adults,68878,0.39,400
Current asthma among adults,68879,0.091,284
Visits to doctor for routine checkup within the past year among adults,68879,0.755,284
Depression among adults,68879,0.166,284
Housing insecurity in the past 12 months among adults,68879,0.088,284
Feeling socially isolated among adults,68879,0.305,284
Obesity among adults,68879,0.382,284
Current asthma among adults,68882,0.09,439
Visits to doctor for routine checkup within the past year among adults,68882,0.76,439
Depression among adults,68882,0.165,439
Housing insecurity in the past 12 months among adults,68882,0.088,439
Feeling socially isolated among adults,68882,0.304,439
Obesity among adults,68882,0.372,439
Current asthma among adults,68883,0.093,2194
Visits to doctor for routine checkup within the past year among adults,68883,0.739,2194
Depression among adults,68883,0.169,2194
Housing insecurity in the past 12 months among adults,68883,0.097,2194
Feeling socially isolated among adults,68883,0.304,2194
Obesity among adults,68883,0.364,2194
Current asthma among adults,68901,0.097,26269
Visits to doctor for routine checkup within the past year among adults,68901,0.722,26269
Depression among adults,68901,0.198,26269
Housing insecurity in the past 12 months among adults,68901,0.099,26269
Feeling socially isolated among adults,68901,0.334,26269
Obesity among adults,68901,0.402,26269
Current asthma among adults,68920,0.092,1330
Visits to doctor for routine checkup within the past year among adults,68920,0.772,1330
Depression among adults,68920,0.166,1330
Housing insecurity in the past 12 months among adults,68920,0.08,1330
Feeling socially isolated among adults,68920,0.299,1330
Obesity among adults,68920,0.361,1330
Current asthma among adults,68922,0.091,1290
Visits to doctor for routine checkup within the past year among adults,68922,0.776,1290
Depression among adults,68922,0.161,1290
Housing insecurity in the past 12 months among adults,68922,0.092,1290
Feeling socially isolated among adults,68922,0.304,1290
Obesity among adults,68922,0.392,1290
Current asthma among adults,68923,0.093,106
Visits to doctor for routine checkup within the past year among adults,68923,0.738,106
Depression among adults,68923,0.169,106
Housing insecurity in the past 12 months among adults,68923,0.083,106
Feeling socially isolated among adults,68923,0.288,106
Obesity among adults,68923,0.454,106
Current asthma among adults,68924,0.091,1204
Visits to doctor for routine checkup within the past year among adults,68924,0.736,1204
Depression among adults,68924,0.168,1204
Housing insecurity in the past 12 months among adults,68924,0.075,1204
Feeling socially isolated among adults,68924,0.3,1204
Obesity among adults,68924,0.366,1204
Current asthma among adults,68925,0.092,422
Visits to doctor for routine checkup within the past year among adults,68925,0.743,422
Depression among adults,68925,0.188,422
Housing insecurity in the past 12 months among adults,68925,0.083,422
Feeling socially isolated among adults,68925,0.326,422
Obesity among adults,68925,0.394,422
Current asthma among adults,68926,0.096,709
Visits to doctor for routine checkup within the past year among adults,68926,0.764,709
Depression among adults,68926,0.172,709
Housing insecurity in the past 12 months among adults,68926,0.097,709
Feeling socially isolated among adults,68926,0.317,709
Obesity among adults,68926,0.395,709
Current asthma among adults,68927,0.089,1104
Visits to doctor for routine checkup within the past year among adults,68927,0.742,1104
Depression among adults,68927,0.162,1104
Housing insecurity in the past 12 months among adults,68927,0.078,1104
Feeling socially isolated among adults,68927,0.298,1104
Obesity among adults,68927,0.413,1104
Current asthma among adults,68928,0.094,379
Visits to doctor for routine checkup within the past year among adults,68928,0.74,379
Depression among adults,68928,0.172,379
Housing insecurity in the past 12 months among adults,68928,0.092,379
Feeling socially isolated among adults,68928,0.308,379
Obesity among adults,68928,0.393,379
Current asthma among adults,68929,0.093,157
Visits to doctor for routine checkup within the past year among adults,68929,0.767,157
Depression among adults,68929,0.165,157
Housing insecurity in the past 12 months among adults,68929,0.082,157
Feeling socially isolated among adults,68929,0.294,157
Obesity among adults,68929,0.42,157
Current asthma among adults,68930,0.091,1217
Visits to doctor for routine checkup within the past year among adults,68930,0.752,1217
Depression among adults,68930,0.166,1217
Housing insecurity in the past 12 months among adults,68930,0.088,1217
Feeling socially isolated among adults,68930,0.309,1217
Obesity among adults,68930,0.373,1217
Current asthma among adults,68932,0.093,400
Visits to doctor for routine checkup within the past year among adults,68932,0.769,400
Depression among adults,68932,0.164,400
Housing insecurity in the past 12 months among adults,68932,0.081,400
Feeling socially isolated among adults,68932,0.291,400
Obesity among adults,68932,0.403,400
Current asthma among adults,68933,0.098,895
Visits to doctor for routine checkup within the past year among adults,68933,0.748,895
Depression among adults,68933,0.179,895
Housing insecurity in the past 12 months among adults,68933,0.097,895
Feeling socially isolated among adults,68933,0.307,895
Obesity among adults,68933,0.435,895
Current asthma among adults,68934,0.098,186
Visits to doctor for routine checkup within the past year among adults,68934,0.762,186
Depression among adults,68934,0.179,186
Housing insecurity in the past 12 months among adults,68934,0.094,186
Feeling socially isolated among adults,68934,0.307,186
Obesity among adults,68934,0.423,186
Current asthma among adults,68935,0.096,678
Visits to doctor for routine checkup within the past year among adults,68935,0.754,678
Depression among adults,68935,0.174,678
Housing insecurity in the past 12 months among adults,68935,0.091,678
Feeling socially isolated among adults,68935,0.3,678
Obesity among adults,68935,0.423,678
Current asthma among adults,68936,0.086,188
Visits to doctor for routine checkup within the past year among adults,68936,0.789,188
Depression among adults,68936,0.148,188
Housing insecurity in the past 12 months among adults,68936,0.073,188
Feeling socially isolated among adults,68936,0.288,188
Obesity among adults,68936,0.396,188
Current asthma among adults,68937,0.09,1683
Visits to doctor for routine checkup within the past year among adults,68937,0.782,1683
Depression among adults,68937,0.16,1683
Housing insecurity in the past 12 months among adults,68937,0.072,1683
Feeling socially isolated among adults,68937,0.283,1683
Obesity among adults,68937,0.381,1683
Current asthma among adults,68938,0.095,507
Visits to doctor for routine checkup within the past year among adults,68938,0.749,507
Depression among adults,68938,0.17,507
