Id,ZipCode,Longitude,Latitude
100197,19138,-75.15122,40.06255
100198,19139,-75.24186,39.95801
100199,19120,-75.11972,40.02048
100200,19144,-75.177992,40.035031
100201,19151,-75.26641,39.97757
100202,19130,-75.167672,39.96328
100203,19133,-75.13226,39.98671
100204,19119,-75.186441,40.0539
100205,19142,-75.24064,39.9218
100206,19141,-75.14781,40.02629
100207,19124,-75.09855,40.00539
100208,19124,-75.081881,40.018711
100209,19124,-75.08476,40.02683
100210,19124,-75.07157,40.0118
100211,19140,-75.13481,40.01855
100212,19150,-75.1574,40.06959
100213,19132,-75.154932,39.992121
100214,19104,-75.20152,39.96203
100215,19133,-75.13561,39.99232
100216,19133,-75.138752,39.991941
100217,19125,-75.127761,39.988551
100218,19139,-75.22339,39.95842
100219,19151,-75.254271,39.96993
100220,19151,-75.267011,39.977881
100221,19151,-75.24001,39.97563
100222,19111,-75.0945,40.05112
100223,19111,-75.09554,40.04996
100224,19111,-75.086082,40.059281
100225,19150,-75.178932,40.06731
100226,19135,-75.045362,40.024871
100227,19139,-75.24005,39.96011
100228,19125,-75.131492,39.9698
100229,19142,-75.22992,39.92232
100230,19126,-75.123851,40.054091
100231,19140,-75.14995,40.00702
100232,19143,-75.228242,39.935931
100233,19143,-75.217261,39.939531
100234,19143,-75.22681,39.93667
100235,19145,-75.18842,39.93247
100236,19152,-75.05194,40.06694
100237,19145,-75.172021,39.92455
100238,19148,-75.15443,39.92725
100239,19136,-75.014432,40.057401
100240,19151,-75.24535,39.97135
100241,19136,-75.018894,40.043827
100242,19150,-75.17801,40.06701
100243,19122,-75.14327,39.97203
100244,19120,-75.13101,40.03244
100245,19144,-75.17622,40.02475
100246,19153,-75.2445,39.88686
100247,19120,-75.13026,40.03685
100248,19136,-75.01547,40.05781
100249,19116,-75.03604,40.1212
100250,19149,-75.069842,40.047341
100251,19143,-75.22687,39.95169
100252,19132,-75.172252,39.991521
100253,19118,-75.208562,40.062991
100254,19133,-75.139481,39.995491
100255,19120,-75.130481,40.036621
100256,19139,-75.237672,39.96317
100257,19149,-75.07733,40.03986
100258,19111,-75.088402,40.037239
100259,19111,-75.08871,40.05635
100260,19135,-75.03934,40.02476
100261,19144,-75.17523,40.03708
100262,19121,-75.17335,39.98145
100263,19143,-75.222143,39.92791
100264,19104,-75.194261,39.96377
100265,19142,-75.23055,39.9217
100266,19140,-75.148112,40.023607
100267,19125,-75.131862,39.986321
100268,19136,-75.032312,40.03993
100269,19131,-75.237592,39.991981
100270,19150,-75.173681,40.079371
100271,19121,-75.15917,39.97488
100272,19140,-75.144451,40.0226
100273,19151,-75.24905,39.97267
100274,19116,-75.020072,40.10144
100275,19120,-75.116772,40.032231
100276,19138,-75.166492,40.060161
100277,19137,-75.068902,40.00226
100278,19111,-75.082102,40.076501
100279,19140,-75.167622,40.009481
100280,19143,-75.21049,39.94353
100281,19143,-75.242441,39.94535
100282,19126,-75.123091,40.049489
100283,19140,-75.14687,40.00481
100284,19122,-75.136042,39.969471
100285,19111,-75.092722,40.052571
100286,19104,-75.2084,39.96608
100287,19104,-75.20255,39.9575
100288,19140,-75.134672,40.01745
100289,19151,-75.239571,39.98212
100290,19151,-75.24169,39.97107
100291,19128,-75.216482,40.03469
100292,19120,-75.133401,40.023271
100293,19131,-75.233212,39.991871
100294,19144,-75.163071,40.022881
100295,19111,-75.081592,40.076341
100296,19123,-75.15376,39.9691
100297,19145,-75.170351,39.925381
